Comment
"스위트홈 특유의 긴박한 기괴함(?)을 잘 표현한 것 같음"
"흡사 배고픔을 견디지 못하고 내 밥에 손을 뻗는 우리 누나 같군"
"인생웹툰과 인생랩퍼 콜라보 미칯 가슴이 웅장해진다 행복해"
"이.. 이게뭐노..
최초 공개는 못참지ㅋㅋㅋㅋㅋㅋ"
"박진감 넘치는 씬에 ost 너무 찰떡이여서 깜짝 놀랐음"
"엔딩이랑 미세하게 다른 부분이 있네여
암튼 곡도 좋고 뮤비도 취저임"
"비와이짱❤️"
"형 일루미나티 아님 개인작업물 아님 ost임"
"비와이 노래 너무 좋음 누가 질린대!!"
"1:42 넷플릭스로 들을때는 이 노래 도입부에 나오는것처럼 나왔는데 이 영상에서는 다르게 나오네요."
"마치 길을 가로막는 세상의 시선들을 뿌리치고 하나님의 길을 가려는 비와이의 마음을 노래하는 거 같네요"
"2:11 BewhY(비와이)- 나란히 (ft.지방이)"
"소리 빼놓고 보면 공포영화
화면 빼놓고 들으면 비와이
둘다보면 다른 의미로 미침"
"비와이는 못참지 ㄹㅇ ㅋㅋ"
"무심코 유툽 들어왔다가 비와이 보고 헐레벌떡 눌럿네;;"
"어쩐지 스위트홈보면서 익숙한 목소리가 들리더라 ㅠ 잘어울렸어"
"형 가사도 좀 올려줘 외우게 형 목소리가 너무 독특하고 비트랑 섞이니까 잘 안들려"
"스위트홈 비와이가살렸다 진짜"
"뭔가가라세데랑비슷하네 ㅌㅋㅋ"
"Как всегда звучит отлично,теперь бы перевод узнать"
"25일까지 어케 기다림"
"이제는 뮤비가 아닌 공포영화를 만드시는 비와이상....."
"와! 스위트홈 아시는 구나"
"1:54 개인적으로 킬링파트 부분..."
"와아아ㅏ아"
"스위트홈 많은 ost중 제일 어울리고 좋았던 노래👍"
""G(지)RET(렸)DA(다)"
                                     feat. my mom,dad"
"우리 귀여운 프로틴"
"분위기가 진짜 잘어울림"
"25일 빨리 왔으면...가사가 넘 궁금함"
"몇초사이에 500명이 늘어나네..."
"드라마는 원작 보다 재미 없어서 1화보고
하차했는데 노래는 괜찮네"
"비트 쌉오진다 진짜.."
"52초 뭐 부드럽게 때리는 소리 개좋네"
"진짜 찢어갈겼다..."
"근데 좀 뜬금 없게 등장하긴함"
"앞만 보고 달려 여긴 소돔"
"애정하는 비와이라서 응원하러왔는데 영상은 무서워서 노래만 듣는데.. 가사는 좋기를 기대하며.. 담부터 이런 작업은 안했으면ㅠ 커리어가 많이 쌓이면 좋긴하지만ㅠ"
"시험하루전인데 나레기는 이걸처보고앉아있네"
"노래진짜 개좋네"
"오..."
"최초공개는 못참아 ㅋㅋ"
"아짓짜최초공개너무심장떨린다내가이거공개만을얼마나기다렸는지"
"가사가 궁금하당"
"앞만보고 달려도 서로"
"ㅗㅜ 뮤비 지렸다....."
"그래서 정규3집은??"
"비와이 때려박는랩 미쳤다"
"뮤비 아티스트 진짜 누구지 너무 좋은데"
"소름~~~"
"1:28  2:30 미란이~"
"형 노래 넘좋을것같다"
"가사 짱잘들림"
"선좋아요 후감상. 기다리는중"
"아 3분전은 못참지"
"이건 못참지!!"
"역시 비와이..."
"앞만 보고 달려 개 이소룡"
"도토리.. 당신은.."
"최초공개는 못참지!!!"
"그림체랑 완전 찰떡이네"
"좋다"
"직이네...."
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"와.."
"쇼미5 우승이후로 곡도 많이내고
2년동안 프로듀서 활동해서 많이 힘드실텐데
이제 좀 쉬셔도 됩니다
물론 그걸 바라는게 아니라
피로회복을 하셔야 어느정도 바이브를 다양하게 발전시킬 수 있지 않을까 싶습니다 
저는 기다릴 수 있습니다
인내심의 한계에 다다를 수도 있지만
어떨땐 휴식이 답일 수가 있습니다
왜냐면 비와이님의 곡들은 전혀 지겹지 않아요
Time travel곡들 아직도 듣고 있다고요
우리의 기대감이 차오르고 있지만
한편으론 걱정이 됩니다


















그래서 쉬라는거냐고요 말라는거냐고요?





























네"
"쌌다...."
"역시 형 맞았네"
"ㄷㄷ"
"기대된다"
"이건 못참지"
"❤️"
"일단 좋아요 누르고 듣는다"
"나빠요1개 ㄹㅈㄷ"
"뮤비 퀄리티 지리네"
"이게뭐노"
"하... 못참겠네"
"앞만 보고 ~#@%서로(?) 이제 뭔지 알수 있으려나"
"오"
"ㄹㄱㄴ"
"오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오"
"하....너무 당황스럽다..... 전시안 피 시체 해골.... 그냥 사탄인데 이건.... 어떻게된건지 해명 브이로그 부탁해요 비와이군....스위트홈도 스릴호러귀신물이던데...댓보면아시겠죠..? 전 비와이군 중심이 가장 관심이예요.."
"한국인이면 댓글달고 외국인이면 









여튼 좋아요를 눌러주세여ㅕㅕ"
"왜 ost 하셨어요? 이 드라마에 내용은 하나님의 말씀과 반대인대... 마기의역사입니다 비와이씨"
