Comment
"아ㅋㅋㅋㅋ외모비하좀 하지말라고 새끼들아 자꾸 그러니까 외모때문에 까이는줄알고 바득바득 말대꾸하잖아"
"2:20 프랑스에도 빼꼼이 있구나........."
"오 여기는 댓글달 수  있넹 신기하다..."
"0:40 후식인가용"
"프랑스 맛집 여행 개꿀"
"ㅋㅋㅋㅋㅋㅋ 대한민국에서 꺼져 그럴거면.... 기분 나쁘네 나도 범죄자냐?"
"아홉시에는 해가 원랴 떠잇지 않을까"
"그래서 이게 캐니언 매드무비냐"
"프랑스에서 스시?"
"이분 맨날 한석원 근황 링크 누르면 이 영상 뜨는데 이 분이 뭔 짓을 했길래 사람들이 이러는걸까요?"
"얘는 봐도봐도 신기하게 생김ㅋ"
"안녕 ^^"
"본새폭발"
"프랑스 가고 싶다"
"우와....대단하세요!!!"
"본새난다~"
"이슈는 만들었네"
"그대..본새왕.. 클라스.."
"왜 전 영상엔 댓글을 못 다는 걸까나?"
"와ㅋ 이세상 본새가 아니네😍"
"첫영상 나무 ㅠㅠ😭"
"이게 현실이다"
"ㅇㄴ 낚시글 때문에 누군가 했는데
이사람이 그 페미니스트 그사람임?"
"와진짜 너무쪽팔린다.."
"본새 🔥 🔥"
"와 이게 현실이구나"
"우와 대단하세요.."
"오오"
"이야ㅑㅑㅑㅑㅑㅑㅑ"
"와 멋있어요..oecd"
"멋지십니다!!"
"어휴 ㅋㅋㅋㅋㅋㅋㅋㅋ"
"근데 9시가 되는거면 해가 당연히 떠있은게 정상아닌가?"
"배리나 귀여운걸~"
"진짜 정도라는 게 있지 선 넘었다"
"존나 본새나요 배리나님..."
"근데 molka가 뭐노??"
"ㅋㅋㅋㅋ귀엽누"
"와 진짜 멋지다.....ㅋㅋㅋㅋㅋㅋㅋ 흔한 기회가 아닌데....대박적"
"언니 넘멋져요ㅠㅠ"
"ㅋ"
"ㅋㅋ 그래도 가방은 무사히 여셨나봐요! 가방이 왜 안 열렸을까 ㅠㅠ"
"심각한 문제입니다"
"이런 애들한테 아이돌 얼굴에 아이돌 몸매주면 지금의 본인처럼 뚱뚱한 사람들 무시함"
"배:이세상
리:본새가
나:아니다"
"크 bb"
"이건 뭔 또 어미없는 영상인가"
"프랑스 버스 경기버스랑 닮아서 순간 움찔함ㅋㅋㅋㅋㅋ"
"와우 정 말 대 단 해 요!"
"배리나님 선향 영향력...! 멋있습니다"
"캬ㅏㅏ본새쩝니다 응원합니다"
"2:21 에펠탑 직접 봤는데 구분이 잘안가네요 뭐가 에펠탑이죠?"
"간지대장..."
"하"
"멋있어요 리나님👍"
"이게 현실이라는 댓글은 뭐지? 무슨뜻..?"
"다이어트 자극 영상"
"멋져요!!!!!"
"연대하겠습니다"
"전 배리나님만의 영상기법과 안에 담긴 감성이 너무 좋아요 영상 틈틈히 올려주세요ㅎㅎ 항상 챙겨보고 있습니다!"
"당신...항상 응원해..."
"멋지십니다"
"배리나님 너무 멋져요!!"
"이런일은 저지르지 마십시오."
"대존멋,,OECD가 초청한 당신,, 긴장한 기색도 없이 어찌저리 인터뷰를 잘 했나여ㅠㅠ"
"본새난다 크~~"
"ㅠㅠ"
"영어도 잘하는 당신 존나 멋있잖아ㅠ🥺❤️"
"멋있어요!"
"배리나님 영상 오늘 처음 봤어요~ 넘 재밌어요👍"
"항상 응원합니다 !!"
"가서 무슨 말 했는지 어디서 볼 수 있어요?"
"국1가망신"
"멋있어요 배리나님"
"영상 잘보고가용 ~~"
"멋져요! 늘 응원하겠습니다!"
"근데 이사람 왜 욕먹고있는거임?"
"ㅋㅋㅋ 화이팅"
"인터넷 댓글도 실명제 됐으면 좋겠네요"
"이사람 뭐 잘못함? 페북에 이분사진 많던데"
"Привет👋🏻"
"ㅋㅋ저도 여행갔다가 캐리어 잠금장치 안열려서 개고생한적 있어요...ㅠㅠㅠㅠㅠ"
"캐리어 안열리는게 시작일줄은 상상도 못했어요ㅋㅋㅋㅋㅋㅋ 응원합니다!!"
"이분 왜이리 욕 먹어용?"
"진짜 멋집니다!! 항상 응원하고 연대해요. 배리나님 화이팅 ❤️💪"
"방구석 인터넷 댓글 특징.
조금이라도 틀리거나 하면 무조건 욕박고 비하함.
현실은 시궁창."
"응원합니다 구독했어요~!!"
"멋져요...!ㅠㅠ"
"와 OECD 멋있다"
"나라망신 ...."
"너무 멋져요!!"
"자랑스럽습니다 ㅠㅠ 항상 응원해요!!"
"배리나님 정말 멋있으세요👍🏻👍🏻👍🏻 OECD라니!!"
"본새,, 대박적,,,
저도 가보고 싶어요,, OECD"
"근데 이 분 뭐 잘못하심?? 나 진짜 몰라서 그래 지금 처음 본 분이야...."
"멋져 ㅠㅠㅠㅠㅠㅠㅠ!!!"
"너무 멋있어요 구독했어요ㅠㅠㅠㅠ자주 봬요"
"멋져요bbbbbbb 항상 영상 잘보고있습니다"
"배리나 화이팅! 😙"
"음식맛있음?"
"진짜 본새갑이야 리나님 ㅠㅠ"
"와...멋있다"
"베리나님 멋져요"
"항상 응원합니다."
"국가망신 자랑이라 올렸냐? ㅋㅋㅋㅋ"
"배리나님 늘 응원하고 있습니다! 마음이 든든하네요! 🥳"
"너무 멋있어요 고생하셨어요"
"좋네염"
"응원합니다 배리나님!!"
"ㅣ"
"너무 멋진행보 최고에요!! 구독했습니다💖"
"감사합니다 응원합니다💪💪"
"리나님 너무 멋있어요 멋쟁이..!"
"ㅂㄷㅂㄷ... oecd도... 메갈이내요..."
"너무 멋있어요!! 이렇게 또 한번 야망 다지고 갑니다!!"
"와..  멋있습니다"
"클래스가 남다르네요"
"너무 멋있어요!! 응원합니당❤️"
"야 댓글 삭제하는거 무서운걸 ㄷㄷ
내거는 좀 남겨주면 안 됨?"
"항상 응원합니다❤️"
"멋있어요!!"
"항상응원해요! :)"
